order_id,paymentTypeId,paymentName,amount,currency,insertDate
138556809,569,Migros Online,218.9,TRY,2023-08-31T19:17:36.2
138557215,33,Getir Online,489.8,TRY,2023-08-31T19:17:34.253
138557410,29,YS Online,442.8,TRY,2023-08-31T17:26:21.833
138558636,33,Getir Online,459.8,TRY,2023-08-31T19:17:33.123
138559995,2,Kredi Kartı,530.8,TRY,2023-08-31T17:38:28.843
138560461,90,Trendyol Online,449.8,TRY,2023-08-31T17:38:27.787
138561440,2,Kredi Kartı,330.9,TRY,2023-08-31T19:17:38.69
138561758,41,Pluxee (Sodexo) Online,337.8,TRY,2023-08-31T17:38:26.17
138562370,33,Getir Online,589.23,TRY,2023-08-31T17:38:29.873
138563489,33,Getir Online,197.01,TRY,2023-08-31T19:17:31.78
138564227,29,YS Online,244.9,TRY,2023-08-31T17:57:57
138566037,29,YS Online,252.9,TRY,2023-08-31T19:17:29.26
138566087,2,Kredi Kartı,619.2,TRY,2023-08-31T17:38:32.343
138566541,90,Trendyol Online,459.8,TRY,2023-08-31T19:17:30.607
138567054,33,Getir Online,390.0,TRY,2023-08-31T19:17:29.93
138569132,33,Getir Online,825.5,TRY,2023-08-31T19:17:31.24
138573268,33,Getir Online,349.7,TRY,2023-08-31T19:17:40.063
138574003,4,Smart Ticket,344.9,TRY,2023-08-31T19:17:40.733
138575751,29,YS Online,463.8,TRY,2023-08-31T19:17:44.117
138575879,90,Trendyol Online,223.9,TRY,2023-08-31T19:17:42.34
138576673,29,YS Online,217.9,TRY,2023-08-31T19:17:43.29
138576676,29,YS Online,329.8,TRY,2023-08-31T19:17:44.713
138578202,29,YS Online,217.9,TRY,2023-08-31T19:57:09.69
138580676,2,Kredi Kartı,253.8,TRY,2023-08-31T21:13:20.633
138581120,29,YS Online,218.9,TRY,2023-08-31T19:17:46.64
138581536,29,YS Online,871.6,TRY,2023-08-31T19:17:45.98
138583886,29,YS Online,709.7,TRY,2023-08-31T19:57:08.837
138584673,33,Getir Online,218.9,TRY,2023-08-31T19:17:45.33
138585986,2,Kredi Kartı,415.8,TRY,2023-08-31T21:49:25.807
138590020,569,Migros Online,217.9,TRY,2023-08-31T22:08:26.483
138590025,29,YS Online,258.9,TRY,2023-08-31T20:50:13.623
138590031,33,Getir Online,217.9,TRY,2023-08-31T19:57:12.223
138591522,33,Getir Online,442.8,TRY,2023-08-31T22:08:27.273
