order_product_id,feature_id,featureName,additionalPrice
934766986,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
934766986,911612,FÜME ET İSTEMİYORUM,-5.0
934766986,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
934794597,602098,Cajun Baharatı İstiyorum,0.0
934794597,602102,Normal Pişim,0.0
934808195,602098,Cajun Baharatı İstiyorum,0.0
934808195,602102,Normal Pişim,0.0
934808195,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
934808204,602098,Cajun Baharatı İstiyorum,0.0
934808204,602102,Normal Pişim,0.0
934830734,602098,Cajun Baharatı İstiyorum,0.0
934830734,602102,Normal Pişim,0.0
934830734,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
934844520,602096,Eldiven İstiyorum,0.0
934844520,602098,Cajun Baharatı İstiyorum,0.0
934844520,602102,Normal Pişim,0.0
934844518,602096,Eldiven İstiyorum,0.0
934844518,602098,Cajun Baharatı İstiyorum,0.0
934844518,602102,Normal Pişim,0.0
934852547,602096,Eldiven İstiyorum,0.0
934852547,602098,Cajun Baharatı İstiyorum,0.0
934852547,602102,Normal Pişim,0.0
934852543,602096,Eldiven İstiyorum,0.0
934852543,602098,Cajun Baharatı İstiyorum,0.0
934852543,602102,Normal Pişim,0.0
934852545,602096,Eldiven İstiyorum,0.0
934852545,602098,Cajun Baharatı İstiyorum,0.0
934852545,602102,Normal Pişim,0.0
934868675,602098,Cajun Baharatı İstiyorum,0.0
934867951,602096,Eldiven İstiyorum,0.0
934867951,602098,Cajun Baharatı İstiyorum,0.0
934867953,602096,Eldiven İstiyorum,0.0
934874613,602098,Cajun Baharatı İstiyorum,0.0
934874613,602102,Normal Pişim,0.0
934876363,602098,Cajun Baharatı İstiyorum,0.0
934876368,602098,Cajun Baharatı İstiyorum,0.0
934880340,602096,Eldiven İstiyorum,0.0
934880340,602098,Cajun Baharatı İstiyorum,0.0
934880340,602102,Normal Pişim,0.0
934880344,602097,Eldiven İstemiyorum,0.0
934880344,602103,Orta Pişim,0.0
934906039,602096,Eldiven İstiyorum,0.0
934906039,602098,Cajun Baharatı İstiyorum,0.0
934906039,602102,Normal Pişim,0.0
934921570,602096,Eldiven İstiyorum,0.0
934921570,602098,Cajun Baharatı İstiyorum,0.0
934921570,602102,Normal Pişim,0.0
934945622,602098,Cajun Baharatı İstiyorum,0.0
934945622,602102,Normal Pişim,0.0
934997762,602098,Cajun Baharatı İstiyorum,0.0
934997762,602102,Normal Pişim,0.0
934997764,602098,Cajun Baharatı İstiyorum,0.0
934997767,602098,Cajun Baharatı İstiyorum,0.0
934997767,602102,Normal Pişim,0.0
935005682,602098,Cajun Baharatı İstiyorum,0.0
935005682,602102,Normal Pişim,0.0
935005682,911612,FÜME ET İSTEMİYORUM,-5.0
935057673,602096,Eldiven İstiyorum,0.0
935057673,602098,Cajun Baharatı İstiyorum,0.0
935057673,602102,Normal Pişim,0.0
935084271,602098,Cajun Baharatı İstiyorum,0.0
935084271,602102,Normal Pişim,0.0
935084277,602098,Cajun Baharatı İstiyorum,0.0
935084277,602102,Normal Pişim,0.0
935084277,602096,Eldiven İstiyorum,0.0
935091775,602098,Cajun Baharatı İstiyorum,0.0
935091775,602102,Normal Pişim,0.0
935134050,602098,Cajun Baharatı İstiyorum,0.0
935134050,602102,Normal Pişim,0.0
935141734,602096,Eldiven İstiyorum,0.0
935141734,602098,Cajun Baharatı İstiyorum,0.0
935141734,602102,Normal Pişim,0.0
935141731,602098,Cajun Baharatı İstiyorum,0.0
935141731,602102,Normal Pişim,0.0
935144462,602098,Cajun Baharatı İstiyorum,0.0
935144462,602102,Normal Pişim,0.0
