order_product_id,feature_id,featureName,additionalPrice
951941004,602102,Normal Pişim,0.0
951941001,602098,Cajun Baharatı İstiyorum,0.0
951941001,602096,Eldiven İstiyorum,0.0
951941001,602102,Normal Pişim,0.0
951947469,602098,Cajun Baharatı İstiyorum,0.0
951947469,602096,Eldiven İstiyorum,0.0
951947469,602102,Normal Pişim,0.0
951980764,602098,Cajun Baharatı İstiyorum,0.0
951980764,602102,Normal Pişim,0.0
951980764,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
951980764,911612,FÜME ET İSTEMİYORUM,-5.0
951998305,602096,Eldiven İstiyorum,0.0
951998305,602098,Cajun Baharatı İstiyorum,0.0
951998305,602102,Normal Pişim,0.0
951998307,602096,Eldiven İstiyorum,0.0
951998307,602098,Cajun Baharatı İstiyorum,0.0
951998307,602102,Normal Pişim,0.0
952011648,602096,Eldiven İstiyorum,0.0
952011648,602098,Cajun Baharatı İstiyorum,0.0
952011648,602102,Normal Pişim,0.0
952456171,602098,Cajun Baharatı İstiyorum,0.0
952456171,602102,Normal Pişim,0.0
952582197,602098,Cajun Baharatı İstiyorum,0.0
952582197,602102,Normal Pişim,0.0
952591396,602096,Eldiven İstiyorum,0.0
952591396,602098,Cajun Baharatı İstiyorum,0.0
952591396,602102,Normal Pişim,0.0
952606734,602096,Eldiven İstiyorum,0.0
952606734,602098,Cajun Baharatı İstiyorum,0.0
952606734,602102,Normal Pişim,0.0
952664314,602098,Cajun Baharatı İstiyorum,0.0
952664314,602102,Normal Pişim,0.0
952758629,602098,Cajun Baharatı İstiyorum,0.0
952758629,602102,Normal Pişim,0.0
952779687,602096,Eldiven İstiyorum,0.0
952779687,602102,Normal Pişim,0.0
952779687,602098,Cajun Baharatı İstiyorum,0.0
952779692,602098,Cajun Baharatı İstiyorum,0.0
952779692,602096,Eldiven İstiyorum,0.0
952779692,602102,Normal Pişim,0.0
952781449,602098,Cajun Baharatı İstiyorum,0.0
952781449,602102,Normal Pişim,0.0
952787314,602098,Cajun Baharatı İstiyorum,0.0
952787314,602102,Normal Pişim,0.0
952787314,602096,Eldiven İstiyorum,0.0
952798871,602098,Cajun Baharatı İstiyorum,0.0
952798871,602102,Normal Pişim,0.0
952798873,602098,Cajun Baharatı İstiyorum,0.0
952798873,602102,Normal Pişim,0.0
952798868,602098,Cajun Baharatı İstiyorum,0.0
952798868,602102,Normal Pişim,0.0
952804430,602098,Cajun Baharatı İstiyorum,0.0
952804430,602096,Eldiven İstiyorum,0.0
952804430,602102,Normal Pişim,0.0
952809343,602096,Eldiven İstiyorum,0.0
952809343,602098,Cajun Baharatı İstiyorum,0.0
952809343,602102,Normal Pişim,0.0
952840282,602098,Cajun Baharatı İstiyorum,0.0
952840282,602102,Normal Pişim,0.0
952840282,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
952840282,911612,FÜME ET İSTEMİYORUM,-5.0
952841417,602098,Cajun Baharatı İstiyorum,0.0
952841417,602102,Normal Pişim,0.0
952841417,911609,ET EKMEK ÇOCUK MENÜ,-15.0
952845968,602096,Eldiven İstiyorum,0.0
952845968,602098,Cajun Baharatı İstiyorum,0.0
952850434,602098,Cajun Baharatı İstiyorum,0.0
952850434,602102,Normal Pişim,0.0
952859859,602098,Cajun Baharatı İstiyorum,0.0
952859859,602096,Eldiven İstiyorum,0.0
952859859,602102,Normal Pişim,0.0
952866055,602098,Cajun Baharatı İstiyorum,0.0
952866055,602096,Eldiven İstiyorum,0.0
952866055,602102,Normal Pişim,0.0
952929193,602098,Cajun Baharatı İstiyorum,0.0
952929193,602102,Normal Pişim,0.0
952929191,602098,Cajun Baharatı İstiyorum,0.0
952929191,602102,Normal Pişim,0.0
952929191,602096,Eldiven İstiyorum,0.0
952933886,602098,Cajun Baharatı İstiyorum,0.0
952933886,602102,Normal Pişim,0.0
952933884,602096,Eldiven İstiyorum,0.0
952933884,602098,Cajun Baharatı İstiyorum,0.0
952933884,602102,Normal Pişim,0.0
952940731,602098,Cajun Baharatı İstiyorum,0.0
952940731,602102,Normal Pişim,0.0
952940725,602098,Cajun Baharatı İstiyorum,0.0
952940725,602102,Normal Pişim,0.0
952940725,911612,FÜME ET İSTEMİYORUM,-5.0
952989272,602096,Eldiven İstiyorum,0.0
952989272,602098,Cajun Baharatı İstiyorum,0.0
952989272,602102,Normal Pişim,0.0
953029710,602096,Eldiven İstiyorum,0.0
953029710,602098,Cajun Baharatı İstiyorum,0.0
953029710,602102,Normal Pişim,0.0
953029710,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953029718,602096,Eldiven İstiyorum,0.0
953029718,602098,Cajun Baharatı İstiyorum,0.0
953029718,602102,Normal Pişim,0.0
953036507,602098,Cajun Baharatı İstiyorum,0.0
953036507,602102,Normal Pişim,0.0
953036507,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953051392,602096,Eldiven İstiyorum,0.0
953051392,602098,Cajun Baharatı İstiyorum,0.0
953051392,602102,Normal Pişim,0.0
953078137,602096,Eldiven İstiyorum,0.0
953078137,602098,Cajun Baharatı İstiyorum,0.0
953078137,602102,Normal Pişim,0.0
953078139,602098,Cajun Baharatı İstiyorum,0.0
953078139,602102,Normal Pişim,0.0
953078139,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953112522,602096,Eldiven İstiyorum,0.0
953112522,602098,Cajun Baharatı İstiyorum,0.0
953112522,602102,Normal Pişim,0.0
953120356,602096,Eldiven İstiyorum,0.0
953120356,602098,Cajun Baharatı İstiyorum,0.0
953120356,602102,Normal Pişim,0.0
953144604,602096,Eldiven İstiyorum,0.0
953144604,602098,Cajun Baharatı İstiyorum,0.0
953144607,602098,Cajun Baharatı İstiyorum,0.0
953144607,602102,Normal Pişim,0.0
953146601,602098,Cajun Baharatı İstiyorum,0.0
953146601,602102,Normal Pişim,0.0
953146606,602098,Cajun Baharatı İstiyorum,0.0
953146606,602102,Normal Pişim,0.0
953198088,602096,Eldiven İstiyorum,0.0
953198088,602098,Cajun Baharatı İstiyorum,0.0
953227525,602098,Cajun Baharatı İstiyorum,0.0
953227525,602102,Normal Pişim,0.0
953227525,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953227525,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
953227533,602098,Cajun Baharatı İstiyorum,0.0
953227533,602102,Normal Pişim,0.0
953463876,602098,Cajun Baharatı İstiyorum,0.0
953463876,602096,Eldiven İstiyorum,0.0
953463876,602102,Normal Pişim,0.0
953499391,602098,Cajun Baharatı İstiyorum,0.0
953499391,602102,Normal Pişim,0.0
953499391,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953499398,602098,Cajun Baharatı İstiyorum,0.0
953499398,602102,Normal Pişim,0.0
953499398,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953500131,602098,Cajun Baharatı İstiyorum,0.0
953500131,602096,Eldiven İstiyorum,0.0
953500131,602102,Normal Pişim,0.0
953539121,602098,Cajun Baharatı İstiyorum,0.0
953539121,602102,Normal Pişim,0.0
953539121,602096,Eldiven İstiyorum,0.0
953553743,602098,Cajun Baharatı İstiyorum,0.0
953553743,602102,Normal Pişim,0.0
953555954,602098,Cajun Baharatı İstiyorum,0.0
953555954,602102,Normal Pişim,0.0
953558104,602098,Cajun Baharatı İstiyorum,0.0
953558104,602102,Normal Pişim,0.0
953558104,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953585710,602098,Cajun Baharatı İstiyorum,0.0
953585710,602096,Eldiven İstiyorum,0.0
953585710,602102,Normal Pişim,0.0
953625465,602098,Cajun Baharatı İstiyorum,0.0
953625465,602102,Normal Pişim,0.0
953651066,602098,Cajun Baharatı İstiyorum,0.0
953652338,602098,Cajun Baharatı İstiyorum,0.0
953652338,911612,FÜME ET İSTEMİYORUM,-5.0
953652338,602102,Normal Pişim,0.0
953652338,602096,Eldiven İstiyorum,0.0
953653240,602098,Cajun Baharatı İstiyorum,0.0
953653240,602096,Eldiven İstiyorum,0.0
953663128,602098,Cajun Baharatı İstiyorum,0.0
953663128,602102,Normal Pişim,0.0
953671382,602098,Cajun Baharatı İstiyorum,0.0
953671382,602096,Eldiven İstiyorum,0.0
953674241,602098,Cajun Baharatı İstiyorum,0.0
953674241,602096,Eldiven İstiyorum,0.0
953674241,602102,Normal Pişim,0.0
953674243,602096,Eldiven İstiyorum,0.0
953674243,602098,Cajun Baharatı İstiyorum,0.0
953674243,602102,Normal Pişim,0.0
953708633,602098,Cajun Baharatı İstiyorum,0.0
953708633,602102,Normal Pişim,0.0
953733474,602096,Eldiven İstiyorum,0.0
953733474,602098,Cajun Baharatı İstiyorum,0.0
953733474,602102,Normal Pişim,0.0
953759834,602098,Cajun Baharatı İstiyorum,0.0
953759834,602102,Normal Pişim,0.0
953759834,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953759831,602098,Cajun Baharatı İstiyorum,0.0
953759831,602102,Normal Pişim,0.0
953759831,911609,ET EKMEK ÇOCUK MENÜ,-15.0
953766091,602098,Cajun Baharatı İstiyorum,0.0
953766091,602102,Normal Pişim,0.0
953773398,602098,Cajun Baharatı İstiyorum,0.0
953773398,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
953813318,602096,Eldiven İstiyorum,0.0
953813318,602098,Cajun Baharatı İstiyorum,0.0
953813306,602098,Cajun Baharatı İstiyorum,0.0
953852066,602098,Cajun Baharatı İstiyorum,0.0
953856460,602098,Cajun Baharatı İstiyorum,0.0
953856462,602098,Cajun Baharatı İstiyorum,0.0
953862859,602096,Eldiven İstiyorum,0.0
953862859,602098,Cajun Baharatı İstiyorum,0.0
953862859,602102,Normal Pişim,0.0
953862862,602096,Eldiven İstiyorum,0.0
953862862,602098,Cajun Baharatı İstiyorum,0.0
953894956,602098,Cajun Baharatı İstiyorum,0.0
953894956,602096,Eldiven İstiyorum,0.0
953894956,602102,Normal Pişim,0.0
953894956,911609,ET EKMEK ÇOCUK MENÜ,-15.0
953894958,602098,Cajun Baharatı İstiyorum,0.0
953894958,602102,Normal Pişim,0.0
953894958,911609,ET EKMEK ÇOCUK MENÜ,-15.0
