order_id,paymentTypeId,paymentName,amount,currency,insertDate
261593115,33,Getir Online,387.9,TRY,2025-02-02T20:36:33.307
261593117,33,Getir Online,387.9,TRY,2025-02-02T20:36:37.203
261593132,33,Getir Online,487.8,TRY,2025-02-02T20:36:39.613
261593663,90,Trendyol Online,524.57,TRY,2025-02-02T20:36:08.247
261594810,29,YS Online,395.16,TRY,2025-02-02T20:37:28.637
261595102,6,Pluxee (Sodexo),1043.8,TRY,2025-02-02T20:36:40.9
261596730,1,Nakit,339.9,TRY,2025-02-02T21:26:14.697
261596878,1,Nakit,463.16,TRY,2025-02-02T21:26:13.433
261597371,29,YS Online,467.41,TRY,2025-02-02T21:26:16.84
261597613,2,Kredi Kartı,403.66,TRY,2025-02-02T21:26:15.297
261598729,33,Getir Online,736.8,TRY,2025-02-02T21:26:15.917
261600958,41,Pluxee (Sodexo) Online,339.9,TRY,2025-02-02T21:26:14.093
261601346,3,Multinet,463.16,TRY,2025-02-02T21:26:17.433
261603577,29,YS Online,514.16,TRY,2025-02-02T21:26:28.637
261607246,29,YS Online,524.36,TRY,2025-02-02T21:26:19.613
261607905,29,YS Online,463.16,TRY,2025-02-02T21:26:21.187
261612947,2,Kredi Kartı,1159.7,TRY,2025-02-02T21:34:26.207
261613639,29,YS Online,395.16,TRY,2025-02-02T21:26:22.58
261614768,33,Getir Online,729.8,TRY,2025-02-02T21:31:41.613
261615007,3,Multinet,526.66,TRY,2025-02-02T21:31:42.623
261617151,2,Kredi Kartı,339.9,TRY,2025-02-02T21:42:19.913
261618457,90,Trendyol Online,429.66,TRY,2025-02-02T21:57:37.207
261618566,2,Kredi Kartı,339.9,TRY,2025-02-02T21:57:36.097
261619222,29,YS Online,476.97,TRY,2025-02-02T21:48:09.16
261621946,33,Getir Online,539.7,TRY,2025-02-02T21:42:17.587
261623036,29,YS Online,497.08,TRY,2025-02-02T21:48:07.79
261623708,33,Getir Online,446.6,TRY,2025-02-02T22:12:12.383
