order_id,order_product_id,product_id,productName,quantity,unitPrice,totalAmount,category,isMenu,parentId,discount
292297890,956915430,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956915429,0.0
292297890,956915432,6606455,Coca-Cola Zero Sugar (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956915429,0.0
292298575,956917769,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956917768,0.0
292298575,956917768,6606452,Burgerator Burger (200 gr.) Menü,1.0,674.9,674.9,DeliveryHero,True,,0.0
292298575,956917774,6606453,Mozzarella Sticks,1.0,149.9,149.9,DeliveryHero,False,,0.0
292298575,956917770,6606455,Coca-Cola Zero Sugar (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956917768,0.0
292298970,956919117,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956919116,0.0
292298970,956919116,6606452,Burgerator Burger (200 gr.) Menü,1.0,681.9,681.9,DeliveryHero,True,,0.0
292298970,956919118,6611030,"Susurluk Ayran (24,5 cl.)",1.0,0.0,0.0,DeliveryHero,False,956919116,0.0
292302255,956930742,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956930741,0.0
292302255,956930744,6606453,Mozzarella Sticks,1.0,149.9,149.9,DeliveryHero,False,,0.0
292302255,956930743,6606455,Coca-Cola Zero Sugar (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956930741,0.0
292302255,956930741,6611568,BBQ Burger (100 gr.) Menü,1.0,546.9,546.9,DeliveryHero,True,,0.0
292303024,956933509,6606310,Burgerator Burger (100 gr.) Menü,1.0,524.9,524.9,DeliveryHero,True,,0.0
292303024,956933510,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956933509,0.0
292303024,956933511,6606435,Sprite (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956933509,0.0
292303024,956933512,6612346,Ranch Sos,1.0,12.9,12.9,DeliveryHero,False,,0.0
292306490,956945667,383291,ICE TEA ŞEFTALİ,1.0,0.0,0.0,İçecekler,False,956945666,0.0
292306490,956945680,383291,ICE TEA ŞEFTALİ,1.0,0.0,0.0,İçecekler,False,956945679,0.0
292306490,956945679,980599,Burgerator Burger Menü,1.0,549.9,548.9,Burger Menüler,True,,0.0
292306490,956945666,980599,Burgerator Burger Menü,1.0,499.9,484.9,Burger Menüler,True,,0.0
292311859,956964952,3358803,"Özerhisar Ayran (24,5 Cl.)",1.0,0.0,0.0,MigrosHemen,False,956964951,0.0
292311859,956964951,7157098,Köz Patlıcanlı Burger (140 Gr.) Menü,1.0,523.16,523.16,MigrosHemen,True,,0.0
292312050,956965624,6606311,Burger,1.0,0.0,0.0,DeliveryHero,False,956965623,0.0
292312050,956965626,6606312,Coca-Cola (33 cl.),1.0,0.0,0.0,DeliveryHero,False,956965623,0.0
292312050,956965628,6606454,Cajun Soslu Patates Kızartması,1.0,109.9,109.9,DeliveryHero,False,,0.0
292312050,956965623,6611568,BBQ Burger (100 gr.) Menü,1.0,531.9,531.9,DeliveryHero,True,,0.0
292312810,956968318,6443642,Burgerator Burger Menü (100 gr.),2.0,399.0,798.0,QrAll,False,,0.0
292312810,956989521,6492117,Burgerator Burger Menü (140 gr. ),1.0,449.0,449.0,QrAll,False,,0.0
292312810,956989522,7145769,Mozarella Sticks (5 adet)	 (Tam),1.0,99.9,99.9,QrAll,False,,0.0
292313636,956971451,1628485,Hot Chili Sos,1.0,9.9,9.9,Soslar,False,,0.0
292313636,956971448,5324731,Burgerator Burger (140 g) Menü,1.0,567.9,567.9,Entegrasyon,True,,0.0
292313636,956971447,5324776,Soğan Halkası,1.0,99.9,99.9,Entegrasyon,False,,0.0
292313636,956971449,5324785,Lipton Ice Tea (330 ml),1.0,0.0,0.0,Entegrasyon,False,956971448,0.0
