orderId,productId,featureName,featureId,additionalPrice
256214793,987185,Normal Pişim,602102,0.0
256215203,987181,Cajun Baharatı İstiyorum,602098,0.0
256215203,987181,Normal Pişim,602102,0.0
256217499,6201435,Cajun Baharatı İstiyorum,602098,0.0
256217499,6201435,Eldiven İstiyorum,602096,0.0
256217499,6201435,Normal Pişim,602102,0.0
256218987,987155,Cajun Baharatı İstiyorum,602098,0.0
256218987,987155,Eldiven İstiyorum,602096,0.0
256218987,987155,Normal Pişim,602102,0.0
256228072,980599,Cajun Baharatı İstiyorum,602098,0.0
256228072,980599,Eldiven İstiyorum,602096,0.0
256228072,980599,Normal Pişim,602102,0.0
256282314,987185,Eldiven İstiyorum,602096,0.0
256282314,987185,Cajun Baharatı İstiyorum,602098,0.0
256282314,987185,Normal Pişim,602102,0.0
256282314,987185,Eldiven İstiyorum,602096,0.0
256282314,987185,Cajun Baharatı İstiyorum,602098,0.0
256282314,987185,Normal Pişim,602102,0.0
256287816,987186,Cajun Baharatı İstiyorum,602098,0.0
256287816,987186,Normal Pişim,602102,0.0
256339641,980599,Cajun Baharatı İstiyorum,602098,0.0
256339641,980599,Eldiven İstiyorum,602096,0.0
256339641,980599,Normal Pişim,602102,0.0
256339641,980599,Cajun Baharatı İstiyorum,602098,0.0
256339641,980599,Eldiven İstiyorum,602096,0.0
256339641,980599,Normal Pişim,602102,0.0
256342280,6201435,Cajun Baharatı İstiyorum,602098,0.0
256342280,6201435,Normal Pişim,602102,0.0
256342280,6201435,Eldiven İstiyorum,602096,0.0
256349091,980599,Cajun Baharatı İstiyorum,602098,0.0
256349091,980599,Normal Pişim,602102,0.0
256380701,987183,Cajun Baharatı İstiyorum,602098,0.0
256380701,987183,Normal Pişim,602102,0.0
256386621,980599,Cajun Baharatı İstiyorum,602098,0.0
256386621,980599,Eldiven İstiyorum,602096,0.0
256386621,980599,Normal Pişim,602102,0.0
256391623,980599,Cajun Baharatı İstiyorum,602098,0.0
256391623,980599,Normal Pişim,602102,0.0
256395650,980599,Cajun Baharatı İstiyorum,602098,0.0
256395650,980599,Normal Pişim,602102,0.0
256401460,987185,Cajun Baharatı İstiyorum,602098,0.0
256401460,987185,Normal Pişim,602102,0.0
256401460,6201435,Cajun Baharatı İstiyorum,602098,0.0
256401460,6201435,Normal Pişim,602102,0.0
256401460,6201435,Eldiven İstiyorum,602096,0.0
256404524,980599,Cajun Baharatı İstiyorum,602098,0.0
256404524,980599,Normal Pişim,602102,0.0
256420513,987185,Cajun Baharatı İstiyorum,602098,0.0
256420513,987185,Normal Pişim,602102,0.0
256420513,987186,Eldiven İstiyorum,602096,0.0
256420513,987186,Normal Pişim,602102,0.0
256420513,987186,CAJUN BAHARATI İSTEMİYORUM,602099,0.0
256423346,980599,Cajun Baharatı İstiyorum,602098,0.0
256423346,980599,Normal Pişim,602102,0.0
256423346,980599,KARAMELİZE SOĞAN İSTEMİYORUM,911610,-1.0
256423346,980599,Cajun Baharatı İstiyorum,602098,0.0
256423346,980599,Normal Pişim,602102,0.0
256423346,980599,KARAMELİZE SOĞAN İSTEMİYORUM,911610,-1.0
256423346,980599,FÜME ET İSTEMİYORUM,911612,-5.0
256423346,980599,B ÖZEL SOS İSTEMİYORUM,911613,-1.0
256427950,987154,Cajun Baharatı İstiyorum,602098,0.0
256427950,987154,Normal Pişim,602102,0.0
256427950,987154,FÜME ET İSTEMİYORUM,911612,-5.0
256431969,980599,Eldiven İstiyorum,602096,0.0
256431969,980599,Cajun Baharatı İstiyorum,602098,0.0
256431969,987185,Eldiven İstiyorum,602096,0.0
256431969,987185,Cajun Baharatı İstiyorum,602098,0.0
